Mesto,Ime,Single,SingleRekord,Average,AverageRekord,Drzava,Poskusi,ImeRunde,IndeksRunde,Leto
1,Hunor Mogyorósi,7.56,,8.28,,hu,(11.42) 8.66 8.20 (7.56) 7.97,3x3x3 Cube First round,2,2019
2,Mattia Furlan,7.84,,8.63,,it,(9.15) 8.73 (7.84) 8.96 8.20,3x3x3 Cube First round,2,2019
3,Lir Ukaj,8.68,,9.10,,xk,9.27 (12.12) 9.05 8.97 (8.68),3x3x3 Cube First round,2,2019
4,Matic Omulec,9.44,,10.48,,si,10.55 10.24 (11.88) (9.44) 10.65,3x3x3 Cube First round,2,2019
5,Dominik Vidaković,9.65,,10.66,,hr,11.50 (9.65) 10.41 (12.21) 10.08,3x3x3 Cube First round,2,2019
6,Jan Vodopivec Suhadolc,8.72,,10.91,,si,13.06 (8.72) 9.15 10.52 (14.16),3x3x3 Cube First round,2,2019
7,Gábor Slezák,9.23,,10.93,,hu,10.41 (11.45) (9.23) 11.22 11.16,3x3x3 Cube First round,2,2019
8,Marcel Ručigaj,9.65,,11.05,,si,11.21 (9.65) 10.43 (12.84) 11.52,3x3x3 Cube First round,2,2019
9,Dominik Hoić,9.40,,11.30,,hr,11.50 11.91 (14.31) (9.40) 10.50,3x3x3 Cube First round,2,2019
10,Lan Fabjan,9.11,,11.33,,si,12.02 (9.11) (12.81) 11.01 10.97,3x3x3 Cube First round,2,2019
11,Andreas Wagner,11.11,,11.72,,at,11.28 12.59 11.30 (12.69) (11.11),3x3x3 Cube First round,2,2019
12,Erik Červek Roškarič,11.25,,12.11,,si,11.60 (11.25) (16.22) 12.77 11.97,3x3x3 Cube First round,2,2019
13,Fabian Staber,9.90,,13.30,,at,13.30 (9.90) (15.38) 12.32 14.29,3x3x3 Cube First round,2,2019
14,Toni Varga,11.91,,13.54,,hr,14.41 (17.31) 14.07 12.15 (11.91),3x3x3 Cube First round,2,2019
15,Matej Bolta,12.89,,13.70,,si,13.34 (12.89) (DNF) 13.06 14.69,3x3x3 Cube First round,2,2019
16,Bálint Csengő,11.36,,13.73,,hu,15.34 11.81 14.03 (11.36) (15.99),3x3x3 Cube First round,2,2019
17,David Črnac,12.99,,13.84,,si,13.10 14.23 (12.99) 14.19 (14.63),3x3x3 Cube First round,2,2019
18,Alexey Tsvetkov,13.85,,14.69,,ru,13.91 (13.85) (16.53) 14.93 15.23,3x3x3 Cube First round,2,2019
19,Marko Grabner,13.75,,14.82,,si,(13.75) 14.25 (16.23) 15.12 15.09,3x3x3 Cube First round,2,2019
20,Dušan Zakelšek,13.41,,15.54,,si,(13.41) 14.72 16.13 15.78 (17.49),3x3x3 Cube First round,2,2019
21,Serafim Weiß,14.27,,15.99,,de,(19.47) (14.27) 15.08 16.26 16.63,3x3x3 Cube First round,2,2019
22,Jernej Omulec,14.48,,16.13,,si,16.63 16.78 14.97 (20.48) (14.48),3x3x3 Cube First round,2,2019
23,Arne Hernah,13.96,,16.85,,si,14.78 21.40 (DNF) (13.96) 14.38,3x3x3 Cube First round,2,2019
24,Alex Strohriegel,14.42,,17.08,,at,16.59 16.71 (14.42) 17.95 (20.75),3x3x3 Cube First round,2,2019
25,Tian Šterman Terbec,17.24,,17.89,,si,17.29 18.43 (21.28) 17.96 (17.24),3x3x3 Cube First round,2,2019
26,Jon Napotnik,17.18,,18.44,,si,(24.51) 19.33 (17.18) 18.77 17.22,3x3x3 Cube First round,2,2019
27,Filip Vrecl,17.03,,20.22,,si,19.77 (29.08) 20.28 20.60 (17.03),3x3x3 Cube First round,2,2019
28,Sandra Mavsar,16.78,,20.80,,si,(30.65) 17.00 (16.78) 18.18 27.22,3x3x3 Cube First round,2,2019
29,Stefan Lepolt,18.57,,22.52,,at,(24.06) (18.57) 23.06 22.80 21.69,3x3x3 Cube First round,2,2019
30,Barbara Mavsar,20.56,,22.57,,si,(25.49) 22.62 21.83 23.25 (20.56),3x3x3 Cube First round,2,2019
31,Gabriel Petrović,20.59,,23.30,,si,23.96 (28.46) 22.12 (20.59) 23.81,3x3x3 Cube First round,2,2019
32,Blaž Pirš,21.72,,23.92,,si,(27.18) (21.72) 25.22 24.42 22.11,3x3x3 Cube First round,2,2019
33,Dieter Amberger,22.34,,24.17,,at,(22.34) 22.51 (31.31) 25.25 24.75,3x3x3 Cube First round,2,2019
34,Branko Kobal,18.06,,24.20,,si,23.25 25.25 (31.76) (18.06) 24.11,3x3x3 Cube First round,2,2019
35,Martin Verlič,21.97,,24.33,,si,27.14 (37.01) 23.58 (21.97) 22.26,3x3x3 Cube First round,2,2019
36,Nik Škrlec,21.73,,25.88,,si,(21.73) 26.18 (27.86) 25.76 25.70,3x3x3 Cube First round,2,2019
37,Vito Lobnik,24.43,,25.92,,si,27.39 (24.43) 25.57 24.79 (27.71),3x3x3 Cube First round,2,2019
38,Viktor Kovačić,24.86,,26.44,,hr,25.28 (24.86) 29.15 (29.32) 24.90,3x3x3 Cube First round,2,2019
39,Judith Laister,21.39,,27.12,,at,23.28 (21.39) 27.96 (32.55) 30.11,3x3x3 Cube First round,2,2019
40,Filip Semenič,26.00,,28.88,,si,29.38 (32.86) 27.84 (26.00) 29.42,3x3x3 Cube First round,2,2019
41,Filip Barbirič Frank,26.13,,29.44,,si,32.94 (36.56) 28.22 (26.13) 27.16,3x3x3 Cube First round,2,2019
42,Filip Fürst,26.77,,31.76,,si,31.63 34.65 (26.77) (35.41) 29.00,3x3x3 Cube First round,2,2019
43,Petra Kobal Vogrinec,24.76,,33.18,,si,32.99 (24.76) (36.93) 32.98 33.58,3x3x3 Cube First round,2,2019
44,Aljaž Strnad,27.29,,33.20,,si,36.47 (37.97) 32.87 (27.29) 30.27,3x3x3 Cube First round,2,2019
45,Azar Bušar,31.06,,35.59,,si,(39.92) 34.95 (31.06) 32.38 39.43,3x3x3 Cube First round,2,2019
46,Bálint Slezák,38.43,,44.14,,hu,(58.15) 46.03 42.68 43.72 (38.43),3x3x3 Cube First round,2,2019
