Mesto,Razdalja,Veter,Ime,Rojstvo,Drzava,Prizorisce,Datum,Rezultat,Starost
1,7.22,-1.4,Malaika MIHAMBO,03 FEB 1994,GER,"Stadio Olimpico, Roma (ITA)",12 JUN 2024,1275,30
2,7.18,0.0,Tara DAVIS-WOODHALL,20 MAY 1999,USA,"Convention Center, Albuquerque, NM (USA) (i)",16 FEB 2024,1258,24
3,6.98,+1.1,Jasmine MOORE,01 MAY 2001,USA,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1213,23
4,6.97,+0.6,Plamena MITKOVA,18 SEP 2004,BUL,"Stadium Ivaylo, Veliko Tarnovo (BUL)",30 JUN 2024,1211,19
5,6.94,+0.1,Larissa IAPICHINO,18 JUL 2002,ITA,"Stadio Olimpico, Roma (ITA)",12 JUN 2024,1205,21
5,6.94,+1.7,Alina ROTARU-KOTTMANN,05 JUN 1993,ROU,"Municipal Theatre Of Piraeus, Piraeus (GRE)",23 JUN 2024,1205,31
5,6.94,+0.9,Tionna TOBIAS,14 NOV 2000,USA,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1205,23
8,6.91,0.0,Mikaelle ASSANI,18 AUG 2002,GER,"Quarterback Immobilien Arena, Leipzig (GER) (i)",18 FEB 2024,1198,21
8,6.91,-0.1,Agate DE SOUSA,05 JUN 2000,POR,"Stadio Olimpico, Roma (ITA)",12 JUN 2024,1198,24
10,6.88,-0.7,Hilary KPATCHA,05 MAY 1998,FRA,"Stadio Olimpico, Roma (ITA)",12 JUN 2024,1195,26
11,6.87,0.0,Ruth USORO,08 OCT 1997,NGR,"Sports Performance Center, Lubbock, TX (USA) (i)",09 FEB 2024,1189,26
11,6.87,-1.2,Natalia LINARES,03 JAN 2003,COL,"Bregy&#243; Athletic Center, Sz&#233;kesfeh&#233;rv&#225;r (HUN)",09 JUL 2024,1196,21
13,6.86,+1.0,Sophia BECKMON,17 AUG 2005,USA,"Demirjian Park, Champaign, IL (USA)",04 MAY 2024,1187,18
13,6.86,-0.7,Quanesha BURKS,15 MAR 1995,USA,"Icahn Stadium, New York, NY (USA)",09 JUN 2024,1191,29
13,6.86,+0.2,Monae&#39; NICHOLS,24 NOV 1998,USA,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1187,25
16,6.85,0.0,Ackelia SMITH,05 FEB 2002,JAM,"Convention Center, Albuquerque, NM (USA) (i)",02 FEB 2024,1185,21
16,6.85,+1.4,Hayla GONZ&#193;LEZ,28 OCT 2003,CUB,"Pista atletismo Fuente de la Ni&#241;a, Guadalajara (ESP)",12 JUN 2024,1185,20
18,6.84,0.0,Ese BRUME,20 JAN 1996,NGR,"Houston-Yeoman FH, Houston, TX (USA) (i)",09 FEB 2024,1183,28
18,6.84,0.0,Viyaleta SKVARTSOVA,15 APR 1998,BLR,"LFK CSKA, Moskva (RUS) (i)",24 FEB 2024,1183,25
18,6.84,-0.3,Annik K&#196;LIN,27 APR 2000,SUI,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1184,24
21,6.83,+1.1,Lex BROWN,26 APR 2001,USA,"Clyde Hart Track &amp; Field Stadium, Waco, TX (USA)",10 MAY 2024,1180,23
22,6.81,0.0,Laura Raquel M&#220;LLER,23 APR 2004,GER,"Helmut-K&#246;rnig-Halle, Dortmund (GER) (i)",20 JAN 2024,1176,19
23,6.80,0.0,Tacoria HUMPHREY,02 JAN 2003,USA,"Demirjian Park, Champaign, IL (USA)",04 MAY 2024,1174,21
25,6.78,0.0,Yelena SOKOLOVA,23 JUL 1986,RUS,"LFK CSKA, Moskva (RUS) (i)",24 FEB 2024,1169,37
25,6.78,0.0,F&#225;tima DIAME,22 SEP 1996,ESP,"Glasgow Arena, Glasgow (GBR) (i)",03 MAR 2024,1169,27
27,6.77,0.0,Nastassia MIRONCHYK-IVANOVA,13 APR 1989,BLR,"Olimpiyets Arena, Mogilyov (BLR) (i)",19 JAN 2024,1167,34
28,6.76,+0.3,Milica GARDAŠEVIĆ,28 SEP 1998,SRB,"Stadion Śląski, Chorz&#243;w (POL)",18 MAY 2024,1165,25
29,6.75,+1.8,Eliane MARTINS,26 MAY 1986,BRA,"Pista atletismo Fuente de la Ni&#241;a, Guadalajara (ESP)",12 JUN 2024,1163,38
30,6.74,0.0,Sydney WILLITS,28 OCT 2002,USA,"The Track at New Balance, Boston, MA (USA) (i)",08 MAR 2024,1160,21
30,6.74,+0.6,Claire BRYANT,25 AUG 2001,USA,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1160,22
32,6.72,+0.9,Madisen RICHARDS,15 NOV 1996,USA,"Jack Rose Track, Long Beach, CA (USA)",11 APR 2024,1156,27
32,6.72,+0.1,Sumire HATA,04 MAY 1996,JPN,"Yanmar Stadium Nagai, Osaka (JPN)",12 MAY 2024,1156,28
32,6.72,-0.2,Marthe KOALA,08 MAR 1994,BUR,"Stade Omnisport de JAPOMA, Douala (CMR)",23 JUN 2024,1157,30
35,6.71,+0.2,Tiffany FLYNN,02 SEP 1995,USA,"Edwin Moses Track, Atlanta, GA (USA)",31 MAY 2024,1154,28
35,6.71,+1.6,Nicole WARWICK,31 AUG 1998,USA,"Greenhill HS, Dallas, TX (USA)",02 JUN 2024,1154,25
35,6.71,+0.1,Ancy SOJAN EDAPPILLY,01 MAR 2001,IND,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",02 SEP 2024,1154,23
38,6.69,+1.0,Yanis DAVID,12 DEC 1997,FRA,"Parc des Sports, Annecy (FRA)",25 MAY 2024,1149,26
38,6.69,+1.6,Pauline HONDEMA,28 MAR 2000,NED,"Sportcentrum Wembley, Kortrijk (BEL)",13 JUL 2024,1149,24
40,6.68,0.0,Yekaterina LEVITSKAYA,02 JAN 1987,RUS,"LFK CSKA, Moskva (RUS) (i)",24 FEB 2024,1147,37
40,6.68,-0.5,Jogailė PETROKAITĖ,30 SEP 1995,LTU,"Stadio Olimpico, Roma (ITA)",12 JUN 2024,1150,28
40,6.68,+1.9,Esraa OWIS,15 OCT 1997,EGY,"Suez Canal Authority Stadium, Ismailia (EGY)",29 JUN 2024,1147,26
44,6.67,0.0,Lissandra Maysa CAMPOS,06 FEB 2002,BRA,"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",16 MAR 2024,1145,22
44,6.67,-0.3,James NAYANA,18 OCT 1995,IND,"Anju Bobby High Performance Centre, Bengaluru (IND)",20 MAR 2024,1146,28
44,6.67,+0.5,Tissanna HICKLING,07 JAN 1998,JAM,"Jamaica College Ashenheim Stadium, Kingston (JAM)",20 APR 2024,1145,26
47,6.66,0.0,Alyssa JONES,06 FEB 2004,USA,"The Track at New Balance, Boston, MA (USA) (i)",08 MAR 2024,1143,20
47,6.66,-1.1,&#201;loyse LESUEUR-AYMONIN,15 JUL 1988,FRA,"Stade Josette et Roger Mikulak, Angers (FRA)",29 JUN 2024,1149,35
47,6.66,+1.3,Taisiya DMITRIYEVA,13 MAY 2003,RUS,"Olympic Stadium, Cheboksary (RUS)",07 JUL 2024,1143,21
50,6.65,0.0,Mar&#237;a VICENTE,28 MAR 2001,ESP,"Stadium Jean-Pellez, Aubi&#233;re (FRA) (i)",28 JAN 2024,1141,22
50,6.65,+0.4,Kaiza KARL&#201;N,04 DEC 1998,SWE,"Estadio de Atletismo del Turia, Valencia (ESP)",04 MAY 2024,1141,25
50,6.65,+1.6,Oksana MALOHLOVETS,11 SEP 1996,UKR,"Avangard Stadium, Lutsk (UKR)",18 MAY 2024,1141,27
50,6.65,-0.3,Angelica BERRIOT,02 JUL 1999,FRA,"Boudewijnstadion, Bruxelles (BEL)",25 MAY 2024,1142,24
50,6.65,-1.0,Magdalena BOKUN,29 MAY 1996,POL,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1147,28
55,6.64,+1.9,Darja SOPOVA,18 FEB 2002,LAT,"Demirjian Park, Champaign, IL (USA)",13 APR 2024,1138,22
55,6.64,+0.3,Irati MITXELENA,03 JUL 1998,ESP,"Pista de Atletismo de Landako, Durango (ESP)",05 MAY 2024,1138,25
55,6.64,+1.2,Filippa KVITEN,20 DEC 1996,CYP,"Municipal Theatre Of Piraeus, Piraeus (GRE)",23 JUN 2024,1138,27
55,6.64,+0.4,Malin STAVENOW,02 SEP 2001,GER,"Olympiastadion, Berlin (GER)",01 SEP 2024,1138,22
59,6.63,+0.8,Alysbeth FELIX BOYER,07 MAR 1993,PUR,"La Vicentina, Quito (ECU)",23 JUN 2024,1136,31
60,6.62,-1.4,Mengyi TAN,05 SEP 2002,CHN,"Guoxin Sports Center, Qingdao (CHN)",13 MAY 2024,1142,21
60,6.62,+1.6,Brooke BUSCHKUEHL,12 JUL 1993,AUS,"CVEATC, Chula Vista, CA (USA)",02 JUN 2024,1134,30
60,6.62,-0.1,Rogilia-chriss BISSEMO,05 APR 2002,FRA,"Stade Josette et Roger Mikulak, Angers (FRA)",29 JUN 2024,1134,22
63,6.61,+0.3,Danielle NOLTE,11 JAN 2002,RSA,"Msunduzi Athletics Stadium, Pietermaritzburg (RSA)",20 APR 2024,1132,22
63,6.61,+0.9,Martha ARAUJO,12 MAY 1996,COL,"Stade de France, Paris (FRA)",09 AUG 2024,1132,28
65,6.60,-2.3,Anthaya CHARLTON,28 JUL 2003,BAH,"Percy Beard Track, Gainesville, FL (USA)",12 APR 2024,1143,20
65,6.60,-0.5,Maryse LUZOLO,15 MAR 1995,GER,"Hans-Bretz-Stadion, Ettlingen (GER)",12 MAY 2024,1133,29
65,6.60,-0.7,Maja &#197;SKAG,18 DEC 2002,SWE,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1134,21
65,6.60,+1.7,Tessy EBOSELE,28 JUL 2002,ESP,"Pista atletismo Fuente de la Ni&#241;a, Guadalajara (ESP)",23 JUN 2024,1130,21
69,6.59,+0.2,Funminiyi OLAJIDE,04 JUN 2002,GBR,"Park West Ath. Complex, San Antonio, TX (USA)",11 MAY 2024,1128,21
69,6.59,+0.1,Nafissatou THIAM,19 AUG 1994,BEL,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1128,29
69,6.59,-0.3,Nikola HOROWSKA,03 JAN 2001,POL,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",28 JUN 2024,1129,23
69,6.59,-0.1,Shaili SINGH,07 JAN 2004,IND,"Tau Devi Lal Stadium, Panchkula (IND)",30 JUN 2024,1128,20
73,6.58,0.0,Taliyah BROOKS,08 FEB 1995,USA,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",09 FEB 2024,1125,29
73,6.58,0.0,Ida Andrea BREIGAN,22 JUL 2004,NOR,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",24 FEB 2024,1125,19
73,6.58,+0.8,Viktoria GORLOVA,22 MAY 2001,RUS,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",26 APR 2024,1125,22
73,6.58,+0.1,Khaddi SAGNIA,20 APR 1994,SWE,"Dubai Police Club Stadium, Dubai (UAE)",03 MAY 2024,1125,30
73,6.58,+1.3,Nathalee ARANDA,22 FEB 1995,PAN,"Pista atletismo Fuente de la Ni&#241;a, Guadalajara (ESP)",12 JUN 2024,1125,29
73,6.58,+0.7,Delta AMIDZOVSKI,23 AUG 2006,AUS,"Estadio Atl&#233;tico de la VIDENA, Lima (PER)",28 AUG 2024,1125,18
80,6.57,0.0,Angelina TOPIĆ,26 JUL 2005,SRB,"Atletska dvorana, Beograd (SRB) (i)",24 JAN 2024,1123,18
80,6.57,0.0,Rougui SOW,07 JUN 1995,FRA,"Stadium Pierre-Quinon, Nantes (FRA) (i)",27 JAN 2024,1123,28
82,6.56,0.0,Joniar THOMAS,30 APR 2001,GRN,"R.A. &quot;Murray&quot; Fasken Indoor Track Stadium, College Station, TX (USA) (i)",20 JAN 2024,1121,22
82,6.56,0.0,Nia ROBINSON,08 NOV 2001,JAM,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",26 JAN 2024,1121,22
82,6.56,0.0,Leticia ORO MELO,05 OCT 1997,BRA,"Expocentro, Pombal (POR) (i)",04 FEB 2024,1121,26
82,6.56,+1.6,Velecia WILLIAMS,09 JUL 2002,JAM,"John McDonnell Field, Fayetteville, AR (USA)",23 MAY 2024,1121,21
82,6.56,+1.7,Tyra GITTENS,06 JUN 1998,TTO,"Stade d&#39;Athletisme Pierre Voillequin, Troyes (FRA)",16 JUN 2024,1121,26
82,6.56,+1.9,Petra B&#193;NHIDI-FARKAS,30 APR 1999,HUN,"Iharos S&#225;ndor Atl&#233;tikai P&#225;lya, Budapest (HUN)",22 JUN 2024,1121,25
82,6.56,+1.3,Kristina GURSKAYA,22 NOV 1996,RUS,"Olympic Stadium, Cheboksary (RUS)",07 JUL 2024,1121,27
90,6.55,0.0,Lovisa KARLSSON,15 JAN 2000,SWE,"Eva Lisa Holtz Arena, Karlstad (SWE) (i)",18 FEB 2024,1119,24
90,6.55,+1.2,Antriana GKOGKA,10 DEC 2003,GRE,"Suez Canal Authority Stadium, Ismailia (EGY)",18 MAY 2024,1119,20
90,6.55,+0.6,Tilde JOHANSSON,05 JAN 2001,SWE,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1119,23
90,6.55,+0.1,Jade O&#39;DOWDA,09 SEP 1999,GBR,"Manchester Regional Arena, Manchester (GBR)",30 JUN 2024,1119,24
94,6.54,0.0,Sha&#39;keela SAUNDERS,12 DEC 1993,USA,"Convention Center, Albuquerque, NM (USA) (i)",16 FEB 2024,1117,30
94,6.54,+1.7,Evelise VEIGA,03 MAR 1996,POR,"Estadio Universitario, Lisboa (POR)",18 MAY 2024,1117,28
94,6.54,+1.7,Daniela GUBLER,22 MAR 1994,SUI,"Stadion Trinermatten, Zofingen (SUI)",18 MAY 2024,1117,30
94,6.54,+0.5,Katarina JOHNSON-THOMPSON,09 JAN 1993,GBR,"Olympic Stadium, London (GBR)",20 JUL 2024,1117,31
99,6.53,+1.7,Chantel MALONE,02 DEC 1991,IVB,"National Training Center, Clermont, FL (USA)",11 MAY 2024,1114,32
99,6.53,+0.3,Neja FILIPIČ,22 APR 1995,SLO,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1114,29
101,6.52,0.0,Jessica K&#196;H&#196;R&#196;,01 AUG 2001,FIN,"TESC, Tampere (FIN) (i)",23 JAN 2024,1112,22
101,6.52,+0.7,Aislinn MCELHANEY,05 JUL 2001,USA,"Paul Derr TF Facility, Raleigh, NC (USA)",30 MAR 2024,1112,22
101,6.52,0.0,Jasmine TODD,23 DEC 1993,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",11 MAY 2024,1112,30
101,6.52,0.0,Alice HOPKINS,30 DEC 1998,GBR,"Loughborough University Track, Loughborough (GBR)",19 MAY 2024,1112,25
101,6.52,+1.8,Caitlin SIMMONS,,USA,"John McDonnell Field, Fayetteville, AR (USA)",23 MAY 2024,1112,
101,6.52,+1.2,Diana LESTI,30 MAR 1998,HUN,"Lantos Mih&#225;ly Sportk&#246;zpont, Budapest (HUN)",26 MAY 2024,1112,26
101,6.52,+1.1,Roksana JĘDRASZAK,28 MAY 2002,POL,"Stadion BOSiR, Białystok (POL)",31 AUG 2024,1112,22
108,6.51,0.0,Chanice PORTER,25 MAY 1994,JAM,"Clemson Indoor Track &amp; Field Complex, Clemson, SC (USA) (i)",26 JAN 2024,1110,29
108,6.51,0.0,Valeriya MOSKVITINA,06 APR 2003,RUS,"Olimpiyets Arena, Slavyansk-na-Kubani (RUS) (i)",27 JAN 2024,1110,20
108,6.51,+0.9,Nemata NIKIEMA,25 SEP 2003,BUR,"COTP Stadium, S&#227;o Paulo (BRA)",24 AUG 2024,1110,20
111,6.50,+0.7,Samantha DALE,30 JUN 2001,AUS,"Lakeside Stadium, Melbourne (AUS)",15 FEB 2024,1108,22
111,6.50,0.0,Noor VIDTS,30 MAY 1996,BEL,"Glasgow Arena, Glasgow (GBR) (i)",01 MAR 2024,1108,27
111,6.50,0.0,Jenica BOSKO,18 NOV 2002,USA,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",22 MAR 2024,1108,21
111,6.50,+1.8,Morgan SMALLS,11 MAY 2002,USA,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",29 MAR 2024,1108,21
111,6.50,+0.5,Janae DE GANNES,17 OCT 2006,TTO,"Kirani James Athletic Stadium, St. George&#39;s (GRN)",01 APR 2024,1108,17
111,6.50,0.0,Emilia SJ&#214;STRAND,16 MAR 2002,SWE,"Veterans Memorial Stadium, Clovis, CA (USA)",10 MAY 2024,1108,22
111,6.50,+1.7,Lucie KIENAST,01 JUN 2001,GER,"M&#246;sle-Stadium, G&#246;tzis (AUT)",19 MAY 2024,1108,22
118,6.49,+0.3,Georgina SCOOT,15 JAN 2004,GBR,"Weaver Stadium, Princeton, NJ (USA)",12 APR 2024,1106,20
118,6.49,+1.1,Maja BEDRAČ,10 SEP 1999,SLO,"Atletski stadion Poljane, Maribor (SLO)",05 MAY 2024,1106,24
118,6.49,+0.4,Tabea CHRIST,05 MAY 1998,GER,"Stadion, Gladbeck (GER)",16 JUN 2024,1106,26
118,6.49,+1.7,Maya TAKEUCHI,09 OCT 1998,JPN,"Ishin Me-Life Stadium, Yamaguchi (JPN)",22 SEP 2024,1106,25
122,6.48,0.0,Anaszt&#225;zia NGUYEN,09 JAN 1993,HUN,"Ny&#237;regyh&#225;zi Atl&#233;tikai Centrum, Ny&#237;regyh&#225;za (HUN) (i)",17 FEB 2024,1103,31
122,6.48,+2.0,Elizabeth HEDDING,04 MAR 1996,AUS,"Nga Puna Wai Sports Hub, Christchurch (NZL)",24 FEB 2024,1103,27
122,6.48,+1.9,Susana HERN&#193;NDEZ,18 JAN 1999,MEX,"Bobcat Track and Field Complex, San Marcos, TX (USA)",29 MAR 2024,1103,25
122,6.48,+1.9,Elisa NALDI,15 AUG 1998,ITA,"Stadio delle Palme, Palermo (ITA)",26 MAY 2024,1103,25
126,6.47,+0.4,Luying GONG,22 FEB 2000,CHN,"HOC Stadium, Hangzhou (CHN)",14 APR 2024,1101,24
126,6.47,+1.5,Anna MATUSZEWICZ,05 APR 2003,POL,"Stadion MKS, Aleksandr&#243;w Ł&#243;dzki (POL)",04 MAY 2024,1101,21
126,6.47,+1.1,Anouk VETTER,04 FEB 1993,NED,"M&#246;sle-Stadium, G&#246;tzis (AUT)",19 MAY 2024,1101,31
126,6.47,+1.8,Aniella DELAFOSSE,03 JAN 2001,USA,"CVEATC, Chula Vista, CA (USA)",08 JUN 2024,1101,23
126,6.47,+0.1,Libby BUDER,11 FEB 2004,GER,"Olympiastadion, Berlin (GER)",01 SEP 2024,1101,20
131,6.46,0.0,Aaliyah FOSTER,12 MAY 2005,JAM,"Convention Center, Albuquerque, NM (USA) (i)",02 FEB 2024,1099,18
131,6.46,0.0,Veronika SEMASHKO,17 OCT 1990,RUS,"LFK CSKA, Moskva (RUS) (i)",24 FEB 2024,1099,33
131,6.46,+1.2,A&#39;liyah THOMAS,24 DEC 2002,USA,"University of South Florida Track &amp; Field Stadium, Tampa, FL (USA)",06 APR 2024,1099,21
131,6.46,+2.0,Molly PALMER,27 AUG 2003,GBR,"Horspath Athletics Track, Oxford (GBR)",25 MAY 2024,1099,20
131,6.46,+0.7,Birna Krist&#237;n KRISTJ&#193;NSD&#211;TTIR,30 JUN 2002,ISL,"Lathbury Athletics Stadium, Gibraltar (GIB)",22 JUN 2024,1099,21
131,6.46,+0.8,Allie JONES,29 JUN 2000,USA,"Enwag-Stadion, Wetzlar (GER)",21 JUL 2024,1099,24
137,6.45,0.0,Irma GUNNARSD&#211;TTIR,04 FEB 1998,ISL,"Laugardalsh&#246;ll, Reykjav&#237;k (ISL) (i)",20 JAN 2024,1097,25
137,6.45,0.0,Andrea ARILLA,14 DEC 2004,ESP,"Centro de Tecnificaci&#243;n de Atletismo, Antequera (ESP) (i)",04 FEB 2024,1097,19
137,6.45,0.0,Evelyn YANKEY,02 SEP 2003,ESP,"Centro de Tecnificaci&#243;n de Atletismo, Antequera (ESP) (i)",10 FEB 2024,1097,20
137,6.45,+0.9,Asherah COLLINS,14 NOV 2001,USA,"Percy Beard Track, Gainesville, FL (USA)",29 MAR 2024,1097,22
137,6.45,+1.8,Ilse STEIGENGA,04 OCT 2002,NED,"University of South Florida Track &amp; Field Stadium, Tampa, FL (USA)",06 APR 2024,1097,21
137,6.45,+1.0,Alexandra KELLY,14 JAN 2004,USA,"Weaver Stadium, Princeton, NJ (USA)",12 APR 2024,1097,20
137,6.45,0.0,Mylani GALBREATH,,USA,"Geroge C. Griffin Track, Atlanta, GA (USA)",19 APR 2024,1097,
137,6.45,-2.7,Dainerys HAIT&#205;,09 MAR 2004,CUB,"Estadio Panamericano, La Habana (CUB)",26 APR 2024,1113,20
