Mesto,Razdalja,Veter,Ime,Rojstvo,Drzava,Prizorisce,Datum,Rezultat,Starost
484,6.14,-0.1,Tshegofatso BOJOSI,01 JAN 1998,BOT,"Stade Omnisport de JAPOMA, Douala (CMR)",23 JUN 2024,1029,26
509,6.13,0.0,Dreunna WASHINGTON,,USA,"R.A. &quot;Murray&quot; Fasken Indoor Track Stadium, College Station, TX (USA) (i)",13 JAN 2024,1027,
509,6.13,0.0,Alina CHISTYAKOVA,30 APR 2005,KAZ,"Athletic Center Olga Rypakova, Ust-Kamenogorsk (KAZ) (i)",20 JAN 2024,1027,18
509,6.13,0.0,Abigail PAWLETT,14 JAN 2003,GBR,"Lasnam&#228;e Kergej&#245;ustikuhall, Tallinn (EST) (i)",04 FEB 2024,1027,21
509,6.13,0.0,Cajsa AUGUSTSSON,21 MAR 2002,SWE,"Eva Lisa Holtz Arena, Karlstad (SWE) (i)",18 FEB 2024,1027,21
509,6.13,0.0,Allyria MCBRIDE,18 JUN 2004,USA,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,1027,19
509,6.13,0.0,Samoya NEIL,29 SEP 2002,JAM,"Shelly Ellig Indoor T&amp;F Facility, Fargo, ND (USA) (i)",23 FEB 2024,1027,21
509,6.13,0.0,Micah CAREY,,USA,"WATTS, Youngstown, OH (USA) (i)",24 FEB 2024,1027,
509,6.13,0.0,Alicia DAWSON,,USA,"Boston Univ. Track &amp; Tennis Center, Boston, MA (USA) (i)",02 MAR 2024,1027,
509,6.13,+1.5,Destiny BAILEY-PERKINS,,USA,"Dick Vert Stadium, High Point, NC (USA)",05 APR 2024,1027,
509,6.13,0.0,Breanna MOORE,,USA,"Geroge C. Griffin Track, Atlanta, GA (USA)",19 APR 2024,1027,
509,6.13,+1.7,Ella SCALLY,,USA,"Billy Hayes T&amp; F Complex, Bloomington, IN (USA)",03 MAY 2024,1027,
509,6.13,0.0,Ren&#225;ta VODNY&#193;NSZK&#193;,11 JAN 2004,SVK,"Dr. Koltai Jenő Sportk&#246;zpont, Budapest (HUN)",12 MAY 2024,1027,20
509,6.13,-2.1,Tabea EITEL,27 JAN 2004,GER,"Hans-Bretz-Stadion, Ettlingen (GER)",12 MAY 2024,1039,20
509,6.13,-1.0,Chiara GALVANI,25 JUL 2001,ITA,"Stadio Mario Lancellotta, Isernia (ITA)",19 MAY 2024,1033,22
509,6.13,+1.5,Olha KORSUN,11 NOV 1996,UKR,"Heino Lipp Stadium, J&#246;hvi (EST)",23 MAY 2024,1027,27
509,6.13,+0.7,Amy WARREN,23 APR 2002,USA,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",23 MAY 2024,1027,22
509,6.13,+1.3,Noemi SEMPERE,21 MAR 1997,ESP,"Pistes d&#39;atletisme Gaet&#224; Huguet, Castell&#243;n (ESP)",25 MAY 2024,1027,27
509,6.13,+2.0,Sandra SOGOYOU,15 SEP 1991,FRA,"Stade Pierre Duboeuf, Bron (FRA)",04 JUL 2024,1027,32
509,6.13,+1.4,Irina GILKO,08 APR 2003,RUS,"Stadium Desna, Bryansk (RUS)",19 JUL 2024,1027,21
535,6.12,0.0,Jada SEAMAN,18 JUL 2001,USA,"R.A. &quot;Murray&quot; Fasken Indoor Track Stadium, College Station, TX (USA) (i)",20 JAN 2024,1025,22
535,6.12,0.0,Laura AGUILERA,04 MAR 2003,ESP,"Centro de Tecnificaci&#243;n de Atletismo, Antequera (ESP) (i)",03 FEB 2024,1025,20
535,6.12,0.0,Adriana KRŪZMANE,20 MAY 2006,LAT,"Jāņa Daliņa Manēža, Valmiera (LAT) (i)",09 FEB 2024,1025,17
535,6.12,0.0,Ivona DADIC,29 DEC 1993,AUT,"TipsArena, Linz (AUT) (i)",11 FEB 2024,1025,30
535,6.12,0.0,Sara KORDEK,01 FEB 2001,POL,"Arena, Toruń (POL) (i)",18 FEB 2024,1025,23
535,6.12,+1.8,Jasmine BARROW,2002,USA,"UCF Soccer and Track Complex, Orlando, FL (USA)",15 MAR 2024,1025,
535,6.12,+0.3,Dimitra GILTIDOU,22 DEC 2001,GRE,"Kaftanzoglio Stadium, Thessaloniki (GRE)",27 APR 2024,1025,22
535,6.12,+0.6,Cheyenne NESBITT,23 AUG 1999,USA,"GVSU Track/Lacrosse Stadium, Allendale, MI (USA)",02 MAY 2024,1025,24
535,6.12,+1.8,Akira KOBAYASHI,18 SEP 1999,JPN,"Municipal Stadium, Mito (JPN)",05 MAY 2024,1025,24
535,6.12,+1.6,Kateřina ČERNOCK&#193;,11 DEC 2005,CZE,"Stadion Juliska, Praha (CZE)",11 MAY 2024,1025,18
535,6.12,+1.2,Lydia BOLL,01 DEC 1999,SUI,"Antonio Dom&#237;nguez Stadium, Arona (ESP)",12 MAY 2024,1025,24
535,6.12,+1.4,Pauline BIKEMBO,05 NOV 2002,FRA,"Stade Christophe Lemaitre, Oyonnax (FRA)",19 MAY 2024,1025,21
535,6.12,+0.2,Lia Irma Sumie KITADA,09 AUG 2001,JPN,"Prefectural Stadium, Kumagaya (JPN)",19 MAY 2024,1025,22
535,6.12,+1.3,Marina ZANONI,22 AUG 2003,SUI,"Landquart Ried, Landquart (SUI)",26 MAY 2024,1025,20
535,6.12,+1.4,Anastasia SARLANI,17 NOV 1999,GRE,"Georgios Dedes Municipal Stadium, Pallini (GRE)",01 JUN 2024,1025,24
535,6.12,+1.1,Clara GABALDON,13 APR 2000,ESP,"Camp d’Atletisme Antoni Amor&#243;s, Santa Coloma de Gramenet (ESP)",09 JUN 2024,1025,24
535,6.12,+0.9,Ambika NARZARY,14 JAN 2002,IND,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",12 JUN 2024,1025,22
535,6.12,0.0,Sydney CONLEY,11 DEC 1993,USA,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",11 JUL 2024,1025,30
535,6.12,+1.7,Katharina FLAIG,11 JAN 2002,GER,"Stadion Festwiese, Stuttgart (GER)",13 JUL 2024,1025,22
535,6.12,+1.6,Martina CUCC&#218;,31 MAY 2003,ITA,"Campo Comunale, Modena (ITA)",22 SEP 2024,1025,21
535,6.12,0.0,Milenne HABASH,2002,CAN,"Track and Field Centre, Toronto (CAN) (i)",30 NOV 2024,1025,
563,6.11,0.0,Jada JOSEPH,,USA,"Armory Track&amp;Field Center, New York, NY (USA) (i)",26 JAN 2024,1023,
563,6.11,0.0,Karolina SVENSSON,19 FEB 1999,SWE,"IFU Arena, Uppsala (SWE) (i)",27 JAN 2024,1023,24
563,6.11,0.0,C&#233;lia PERRON,18 APR 1997,FRA,"Hall des Sports, Bompas (FRA) (i)",11 FEB 2024,1023,26
563,6.11,0.0,Daria KUSHNIR,08 APR 2002,RUS,"Winter Arena, St. Petersburg (RUS) (i)",15 FEB 2024,1023,21
563,6.11,0.0,Alimot Adejumoke ALOWONLE,28 MAY 2005,NGR,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",25 FEB 2024,1023,18
563,6.11,0.0,Absa BA,27 JUL 2003,FRA,"Salle Maryvonne Dupureur, St-Brieuc (FRA) (i)",02 MAR 2024,1023,20
563,6.11,+0.8,Geena DAVY,27 FEB 2007,AUS,"SA Athletic Stadium, Adelaide (AUS)",18 APR 2024,1023,17
563,6.11,+0.7,Jolie ROBINSON,,USA,"Miller&amp; Capriotti Athletics Complex, San Luis Obispo, CA (USA)",10 MAY 2024,1023,
563,6.11,+0.1,Lianrui XIAO,22 OCT 2001,CHN,"Olympic Sports Center, Chongqing (CHN)",27 MAY 2024,1023,22
563,6.11,+1.5,Annie KUNZ,16 FEB 1993,USA,"CVEATC, Chula Vista, CA (USA)",02 JUN 2024,1023,31
563,6.11,+0.5,Erica GRAHAM,1996,USA,"Monmouth University Joe Compagni Track at Kessler Stadium, West Long Branch, NJ (USA)",02 JUN 2024,1023,
563,6.11,+0.7,Sandra BABU,03 JUL 2001,IND,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",12 JUN 2024,1023,22
563,6.11,+1.1,Ninali ZHENG,12 NOV 1998,CHN,"Stadionring, Ratingen (GER)",23 JUN 2024,1023,25
563,6.11,+1.0,Polina ESKINA,09 JUL 2003,RUS,"Hadar Yosef Stadium, Tel Aviv (ISR)",27 JUN 2024,1023,20
563,6.11,+1.3,Iben CARNHED,03 SEP 2001,NOR,"Sandnes Stadion, Sandnes (NOR)",28 JUN 2024,1023,22
563,6.11,+1.9,Laura VO&#223;,29 JAN 1994,GER,"Sportcentrum Wembley, Kortrijk (BEL)",13 JUL 2024,1023,30
563,6.11,+1.9,Darya YAKOVLEVA,14 AUG 2003,RUS,"Stadium Desna, Bryansk (RUS)",19 JUL 2024,1023,20
563,6.11,+2.0,Yuliya YAKUNINA,08 FEB 2002,RUS,"Stadium Desna, Bryansk (RUS)",19 JUL 2024,1023,22
563,6.11,+0.3,R. PUNITHA,13 APR 2000,IND,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",02 SEP 2024,1023,24
588,6.10,0.0,Valeria QUISPE,02 SEP 1997,BOL,"Gobierno Aut&#243;nomo Municipal de Cochabamba, Cochabamba (BOL) (i)",13 JAN 2024,1020,26
588,6.10,0.0,Thale LEIRFALL,12 APR 1999,NOR,"Ranheimshallen, Trondheim (NOR) (i)",28 JAN 2024,1020,24
588,6.10,0.0,Lauren FOWLER,,USA,"Convention Center, Albuquerque, NM (USA) (i)",09 FEB 2024,1020,
588,6.10,0.0,Senni SALMINEN,29 JAN 1996,FIN,"TESC, Tampere (FIN) (i)",17 FEB 2024,1020,28
588,6.10,0.0,L&#237;via H&#220;BSCHOV&#193;,04 SEP 2004,SVK,"Športov&#225; hala El&#225;n, Bratislava (SVK) (i)",17 FEB 2024,1020,19
588,6.10,+1.8,Sarolta KRISZT,28 OCT 2006,HUN,"Centro Gabre Gabric, Brescia (ITA)",28 APR 2024,1020,17
588,6.10,-0.7,Asjah ATKINSON,,USA,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 APR 2024,1024,
588,6.10,+0.1,Annika WILLIAMS,20 SEP 2001,USA,"Potts Field, Boulder, CO (USA)",11 MAY 2024,1020,22
588,6.10,+0.9,Ad&#233;la SOCHOROV&#193;,01 NOV 2005,CZE,"Stadion TJ Lokomotiva Olomouc,, Olomouc (CZE)",18 MAY 2024,1020,18
588,6.10,-0.1,Klaudia BOGUSZEWSKA,03 APR 2005,POL,"Stadion BOSiR, Białystok (POL)",25 MAY 2024,1020,19
588,6.10,+1.7,Maria de Los Angeles AROYO,18 JUL 1996,ESP,"Pista atletismo Fuente de la Ni&#241;a, Guadalajara (ESP)",12 JUN 2024,1020,27
588,6.10,+1.4,Patricia MARTINEZ,29 NOV 2001,ESP,"Pista atletismo Fuente de la Ni&#241;a, Guadalajara (ESP)",12 JUN 2024,1020,22
588,6.10,+0.7,Linoy LEVY,19 APR 2004,ISR,"Hadar Yosef Stadium, Tel Aviv (ISR)",27 JUN 2024,1020,20
588,6.10,+0.7,Nicola KONDZIELLA,06 MAR 2002,GER,"Stadion am G&#246;ldner, Sondershausen (GER)",17 AUG 2024,1020,22
588,6.10,-1.4,Deepanshi SINGH,03 APR 2001,IND,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",02 SEP 2024,1028,23
588,6.10,0.0,Anaelle IMBERT,13 JUL 2004,FRA,"Stade Jean Leroi, Blois (FRA)",20 OCT 2024,1020,20
612,6.09,0.0,Alex GOCHENOUR,17 FEB 1993,USA,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",09 FEB 2024,1018,30
612,6.09,0.0,Verena MAYR,01 FEB 1995,AUT,"TipsArena, Linz (AUT) (i)",11 FEB 2024,1018,29
612,6.09,0.0,Dariya DERKACH,27 MAR 1993,ITA,"Palaindoor Ancona, Ancona (ITA) (i)",17 FEB 2024,1018,30
612,6.09,+0.3,Raissa ROMAO,04 MAR 2003,BRA,"Centro de Atletismo Professor Oswaldo Terra, Sao Bernardo do Campo (BRA)",16 MAR 2024,1018,21
612,6.09,+0.4,Tori MOSS,06 NOV 2003,AUS,"WA Athletics Stadium, Perth (AUS)",23 MAR 2024,1018,20
612,6.09,+1.3,Breanna BROWN-MARSHALL,,USA,"Percy Beard Track, Gainesville, FL (USA)",29 MAR 2024,1018,
612,6.09,+0.5,Gianna LOCCI,29 MAR 2004,USA,"Kentner Stadium Wake Forest University, Winston Salem, NC (USA)",19 APR 2024,1018,20
612,6.09,+1.9,Jaiden BOOMSMA,,USA,"St. Thomas O&#39;Shaughnessy Stadium, St. Paul, Minneapolis, MN (USA)",10 MAY 2024,1018,
612,6.09,+0.7,Valissa BROWN,17 AUG 2002,JAM,"UL Monroe Brown Stadium, Monroe, LA (USA)",10 MAY 2024,1018,21
612,6.09,+0.6,Jodie SMITH,02 NOV 2001,GBR,"M&#246;sle-Stadium, G&#246;tzis (AUT)",19 MAY 2024,1018,22
612,6.09,+0.9,Beatričė JUŠKEVIČIŪTĖ,10 JAN 2000,LTU,"M&#246;sle-Stadium, G&#246;tzis (AUT)",19 MAY 2024,1018,24
612,6.09,+1.0,Tori WEST,14 OCT 1995,AUS,"M&#246;sle-Stadium, G&#246;tzis (AUT)",19 MAY 2024,1018,28
612,6.09,+1.5,Anna PANENKO,12 NOV 2005,EST,"Heino Lipp Stadium, J&#246;hvi (EST)",23 MAY 2024,1018,18
612,6.09,+0.2,Paulina KUBIS,24 MAR 2004,POL,"Stadion BOSiR, Białystok (POL)",25 MAY 2024,1018,20
612,6.09,-0.8,Ruby JERGES,18 MAR 2004,GBR,"Alzbetina street, Košice (SVK)",20 JUN 2024,1022,20
612,6.09,-0.4,Daniela JELIĆ,21 JAN 2005,CRO,"Stadion Branko Čavlović-Čavlek, Karlovac (CRO)",30 JUN 2024,1020,19
636,6.08,0.0,Joely WELBURN,1999,CAN,"Universiade Pavilion, Edmonton (CAN) (i)",19 JAN 2024,1016,
636,6.08,0.0,Veronica ZANON,16 JAN 2001,ITA,"Palaindoor Ancona, Ancona (ITA) (i)",20 JAN 2024,1016,23
636,6.08,0.0,Katre Sofia PALM,30 MAY 2000,EST,"Lasnam&#228;e Kergej&#245;ustikuhall, Tallinn (EST) (i)",28 JAN 2024,1016,23
636,6.08,0.0,No&#233;mie DESAILLY,04 JUL 2002,FRA,"Stadium Miramas M&#233;tropole, Miramas (FRA) (i)",17 FEB 2024,1016,21
636,6.08,0.0,Elena Andreea TALOȘ,24 FEB 1995,ROU,"Sala de Atletism Ioan Soter, Bucureşti (ROU) (i)",18 FEB 2024,1016,28
636,6.08,+0.7,Madri RABE,31 JAN 2001,RSA,"Pilditch Stadium, Pretoria (RSA)",02 MAR 2024,1016,23
636,6.08,0.0,Ana Valeria FRAYRE,09 DEC 2001,MEX,"Estadio Ol&#237;mpico de la Cd. Deportiva, Chihuahua (MEX)",03 MAR 2024,1016,22
636,6.08,0.0,Junjun ZHANG,11 AUG 2001,CHN,"Jiangsu Sports Bureau Training Center, Nanjing (CHN) (i)",17 MAR 2024,1016,22
636,6.08,+0.3,Lauryn FORD,12 MAY 2001,USA,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",22 MAR 2024,1016,22
636,6.08,+1.6,Rayven NEALEY,17 NOV 2000,USA,"San Diego State University, San Diego, CA (USA)",23 MAR 2024,1016,23
636,6.08,+0.6,Victoria ZANOLLI,26 NOV 2005,ARG,"Cef N&#176;3 Hugo Mario La Nasa, Concepci&#243;n del Uruguay (ARG)",06 APR 2024,1016,18
636,6.08,-1.5,Lauren YEBOAH-KODIE,,USA,"Weaver Stadium, Princeton, NJ (USA)",04 MAY 2024,1025,
636,6.08,+1.0,Monika LEHENOV&#193;,23 APR 2002,SVK,"Stadion Juliska, Praha (CZE)",11 MAY 2024,1016,22
636,6.08,0.0,Sophie MEREDITH,12 APR 2001,IRL,"Boudewijnstadion, Bruxelles (BEL)",25 MAY 2024,1016,23
636,6.08,+2.0,Federica PALAZZO,25 NOV 2003,ITA,"Stadio M.S. Cozzoli, Molfetta (ITA)",26 MAY 2024,1016,20
636,6.08,+0.8,Naiah BOARDINGHAM,,USA,"CVEATC, Chula Vista, CA (USA)",08 JUN 2024,1016,
636,6.08,+1.6,Elda ROMEVA,23 MAR 2006,ESP,"Camp d’Atletisme Antoni Amor&#243;s, Santa Coloma de Gramenet (ESP)",09 JUN 2024,1016,18
636,6.08,-1.3,T&#226;nia FERREIRA DA SILVA,17 DEC 1986,BRA,"Pista de Atletismo CEAR, Campinas (BRA)",16 JUN 2024,1023,37
636,6.08,+1.3,Elodie FRANCART,15 JAN 2005,BEL,"VITA Atletiek, Ninove (BEL)",08 SEP 2024,1016,19
663,6.07,0.0,Plamena CHAK&#194;ROVA,26 APR 2005,BUL,"Asics Arena, Sofia (BUL) (i)",21 JAN 2024,1014,18
663,6.07,0.0,Arina MALAKHOVA,01 AUG 2000,RUS,"Olimpiyets Arena, Slavyansk-na-Kubani (RUS) (i)",27 JAN 2024,1014,23
663,6.07,0.0,Nina GARAY,13 NOV 1996,GER,"Werner-von-Linde-Halle, M&#252;nchen (GER) (i)",04 FEB 2024,1014,27
663,6.07,+1.6,Serena BOLDEN,15 SEP 2001,USA,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",29 MAR 2024,1014,22
663,6.07,+0.5,Montana DJATSCHENKO,29 AUG 2001,AUS,"SA Athletic Stadium, Adelaide (AUS)",14 APR 2024,1014,22
663,6.07,+1.0,Nyla WARD,2000,USA,"Franklin Field, Philadelphia, PA (USA)",26 APR 2024,1014,
663,6.07,0.0,Mareike R&#214;SING,31 DEC 1999,GER,"Centro Gabre Gabric, Brescia (ITA)",28 APR 2024,1014,24
663,6.07,-0.2,Anna KRASUTSKA,20 JUL 1995,UKR,"Pioneer Stadium, Kyiv (UKR)",09 MAY 2024,1015,28
663,6.07,+1.1,Claire PITTMAN,,USA,"Gibson Track &amp; Field Complex, Terre Haute, IN (USA)",11 MAY 2024,1014,
663,6.07,0.0,Maelle SAINT ALME,21 FEB 2005,FRA,"Stade Philippe Mahut, Fontainebleau (FRA)",17 MAY 2024,1014,19
663,6.07,+1.1,Marie DEHNING,26 MAY 2003,GER,"M&#246;sle-Stadium, G&#246;tzis (AUT)",19 MAY 2024,1014,20
663,6.07,+0.6,Myke VAN DE WIEL,04 JUN 1997,NED,"Sportpark Laan van Poot, Den Haag (NED)",19 MAY 2024,1014,26
663,6.07,+0.5,Paulina LIGARSKA,09 APR 1996,POL,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1014,28
663,6.07,+1.3,Celeste SELA,22 JUL 2004,FRA,"Stade Philippides, Montpellier (FRA)",08 JUN 2024,1014,19
663,6.07,+1.1,Olaia Gisela BECERRIL,16 JUL 2001,ESP,"Pista atletismo Fuente de la Ni&#241;a, Guadalajara (ESP)",12 JUN 2024,1014,22
663,6.07,+1.5,Leona GRIMM,12 JAN 2000,GER,"Waldstadion, Walldorf (GER)",15 JUN 2024,1014,24
663,6.07,+0.7,Chloe CELIGNY,19 JUL 2001,FRA,"Stade d&#39;Athletisme Pierre Voillequin, Troyes (FRA)",16 JUN 2024,1014,22
663,6.07,+0.9,Anna ROTTER,16 JUN 2002,SUI,"Stadion Neufeld, Bern (SUI)",19 JUN 2024,1014,22
663,6.07,0.0,Adeyah BREWSTER,20 DEC 2002,BAR,"Usain Bolt Complex, Bridgetown (BAR)",23 JUN 2024,1014,21
663,6.07,+0.9,Brina LIKAR,03 NOV 2005,SLO,"Štadion Kladivar, Celje (SLO)",29 JUN 2024,1014,18
663,6.07,+1.6,Magdalena PERIĆ,29 OCT 2001,CRO,"Stadion SRC Mladost, Čakovec (CRO)",10 JUL 2024,1014,22
663,6.07,+1.2,Sunniva INDAHL,23 JUL 2006,NOR,"M&#248;rkvedlia Friidrett, Bod&#248; (NOR)",03 AUG 2024,1014,18
663,6.07,+1.6,Chisom NWAFOR,26 SEP 2005,GBR,"Alexander Stadium, Birmingham (GBR)",03 AUG 2024,1014,18
663,6.07,+0.2,Charlotte GOLDSMITH,25 APR 2006,NZL,"Aorangi Stadium, Timaru (NZL)",08 DEC 2024,1014,18
695,6.06,0.0,Elsa PUU,23 JUL 2005,EST,"Lasnam&#228;e Kergej&#245;ustikuhall, Tallinn (EST) (i)",14 JAN 2024,1012,18
695,6.06,0.0,Marijke ESSELINK,22 JUN 1999,NED,"Stadium Jean-Pellez, Aubi&#233;re (FRA) (i)",28 JAN 2024,1012,24
695,6.06,0.0,Winny Chepngetich BII,27 DEC 2003,KEN,"Ahearn Field House, Manhattan, KS (USA) (i)",02 FEB 2024,1012,20
695,6.06,0.0,Sofia PRIBIL,09 FEB 2006,RUS,"Virazhi Arena, Togliatti (RUS) (i)",17 FEB 2024,1012,18
695,6.06,0.0,Prommyse HOOSIER,04 SEP 2000,USA,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,1012,23
695,6.06,0.0,Destiny MASTERS,28 JAN 2002,USA,"The Track at New Balance, Boston, MA (USA) (i)",08 MAR 2024,1012,22
